"Adresse","Type de contenu","Code HTTP","Statut","Version HTTP","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Meta Robots 1","Balise X-Robots 1"
"https://www.rougier-ple.fr/pastel-1589.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/pastel-1589.r.html","",""
"https://www.rougier-ple.fr/silicone-latex.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/silicone-latex.r.html","",""
"https://www.rougier-ple.fr/calame.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/calame.r.html","",""
"https://www.rougier-ple.fr/regle-reglet-echelle.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/regle-reglet-echelle.r.html","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-Rougier-2025-S10_02.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/entreprise.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/entreprise.r.html","",""
"https://www.rougier-ple.fr/format-raisin.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/format-raisin.r.html","",""
"https://www.rougier-ple.fr/paques.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/paques.r.html","",""
"https://www.rougier-ple.fr/peinture-huile.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/peinture-huile.r.html","",""
"https://www.rougier-ple.fr/beaux-arts/huile.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/beaux-arts/huile.r.html","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/nepasmanquer.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/peinture-par-numero.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/peinture-par-numero.r.html","",""
"https://www.rougier-ple.fr/posca-1315.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/posca-1315.r.html","",""
"https://www.rougier-ple.fr/materiel-architecture.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/materiel-architecture.r.html","",""
"https://www.rougier-ple.fr/ciseaux-colle.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/ciseaux-colle.r.html","",""
"https://www.rougier-ple.fr/moule-resine.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/moule-resine.r.html","",""
"https://www.rougier-ple.fr/presse.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/presse.r.html","",""
"https://www.rougier-ple.fr/magasins.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/magasins.r.html","",""
"https://www.rougier-ple.fr/objets-decorer-bois-papier-mache.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/objets-decorer-bois-papier-mache.r.html","",""
"https://www.rougier-ple.fr/library/layer/menu_item_3.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/crea-1257.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/crea-1257.r.html","",""
